id,name,english_name,japanese_name,score,genres,synopsis,type,episodes,aired,premiered,status,producers,licensors,studios,source,duration,rating,rank,popularity,favorites,members,image_url,watching,completed,on_hold,dropped,plan_to_watch,scored_by,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
61,D.N.Angel,D.N.Angel,Ｄ・Ｎ・ＡＮＧＥＬ,7.17,"Action, Comedy, Fantasy, Romance","Daisuke Niwa is a clumsy, block-headed, and wimpy middle school student who has few redeeming qualities. On his 14th birthday, he finally decides to confess his love to his longtime crush Risa Harada, but is rejected. 

In an unexpected turn of events, however, Daisuke finds himself transforming into Dark Mousy, the infamous phantom thief, whenever his mind is set on Risa. Though Daisuke is unaware of this strange heritage, his mother is certainly not: since before the boy was born, his mother had been planning for him to steal valuable works of art and let the name of the elusive art thief be known.

With doubt and confusion constantly clouding his mind, Daisuke finds himself struggling in his relationships with classmates and family. And it is not long before Daisuke realizes that he is not the only one with a fated family legacy—his greatest adversary could be the one classmate he is most unwilling to fight.",TV,26,"Apr 3, 2003 to Sep 25, 2003",spring 2003,Finished Airing,Kadokawa Shoten,"ADV Films, Discotek Media",Xebec,Manga,23 min per ep,PG-13 - Teens 13 or older,3302,1241,1269,183496,https://cdn.myanimelist.net/images/anime/1126/98904.jpg,5850,127311,8038,11918,30379,98542,418,639,1168,3469,8887,16486,27239,20845,11491,7900
62,D.C.: Da Capo,D.C.~Da Capo~,D.C.～ダ・カーポ～,6.72,"Drama, Romance","Hatsunejima abounds in mysteries—one of which is the town's unwithering cherry trees that are said to grant the most genuine wishes. There are also rumors of people possessing supernatural powers, like Junichi Asakura, who can see other people's dreams and create sweets out of nothing. Alongside his sister Nemu, he enjoys living in peace with his friends at Kazami Academy but chooses to shroud his identity in secrecy.

His tranquil school life comes to a halt when he finds out that his childhood friend Sakura Yoshino has returned from America after six years. She is there for one purpose: to fulfill the promises she made long ago with Junichi. Little does anyone know, however, that Sakura's appearance is bound to change everyone's lives—for better or worse.",TV,26,"Jul 5, 2003 to Dec 27, 2003",summer 2003,Finished Airing,"Lantis, King Records",,"feel., Zexcs",Visual novel,24 min per ep,PG-13 - Teens 13 or older,5420,2384,196,75349,https://cdn.myanimelist.net/images/anime/4/73936.jpg,3675,38907,3099,4248,25413,30499,296,415,722,1656,3722,5982,8303,5291,2502,1609
63,DearS,DearS,ディアーズ,6.56,"Comedy, Romance, Sci-Fi, Ecchi","One year ago, a UFO containing 150 aliens crash-landed off the shores of Kasai. Because no one could fix their ship, the Japanese Government decided to bestow upon them the designation ""DearS"" and make them into Japanese citizens, teaching them the language, customs, and culture of Japan. However, in order for them to become more familiar with human society, a home-stay program has been enacted to allow them to mingle with other humans.

One misty morning, a truck carrying a capsule that housed one of these aliens ends up dropping it into the riverbank, releasing her from her confinement. She is eventually found by a high school student named Takeya Ikuhara, who saves her from being hit by a truck and takes pity on her, despite being extremely distrustful of their race and wanting nothing to do with them. Upon being named Ren, she imprints upon him as her ""Master"" and serves as his personal ""Slave,"" leaving him with a ""DearS"" who wants to remain with him no matter what and bringing his ordinary, alien-free days to an end.",TV,12,"Jul 11, 2004 to Sep 26, 2004",summer 2004,Finished Airing,"Bandai Visual, Hal Film Maker, Genco, Lantis","Discotek Media, Geneon Entertainment USA",Daume,Manga,23 min per ep,R+ - Mild Nudity,6277,1499,354,146818,https://cdn.myanimelist.net/images/anime/1207/98872.jpg,4931,106403,3487,6313,25677,79129,854,1187,2171,4758,10287,16883,21155,12172,5847,3812
64,Rozen Maiden,Rozen Maiden,ローゼンメイデン,7.41,"Action, Comedy, Drama","Traumatized by school, Jun Sakurada spends his days at home as a shut-in, purchasing things online, only to send them back before the free trial period ends. So when a note appears on his desk, asking whether or not he would wind something, he assumes it was something he ordered and carelessly circles ""yes,"" changing his life forever.
 
A box arrives with a wind up doll inside, but this is no ordinary toy: after Jun winds her up, she begins walking and talking as if a normal person. With a haughty attitude, she introduces herself as Shinku, the fifth doll in the Rozen Maiden collection, a group of special dolls made by the legendary dollmaker Rozen. These sisters must battle each other in a competition called the Alice Game with the help of a human to ensure victory. The winner becomes Alice, a real girl who is worthy of meeting their creator.

As more sentient dolls end up taking residence in Jun's house, and a foe from Shinku's past makes her appearance, Jun's life becomes far more complicated than he ever thought possible.",TV,12,"Oct 8, 2004 to Dec 24, 2004",fall 2004,Finished Airing,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,24 min per ep,PG-13 - Teens 13 or older,2145,1142,1982,202039,https://cdn.myanimelist.net/images/anime/1424/108431.jpg,7075,126460,6689,8755,53043,96497,342,405,811,2226,6156,13038,26709,24777,13456,8577
65,Rozen Maiden: Träumend,Rozen Maiden: Träumend,ローゼンメイデン トロイメント,7.62,"Action, Comedy, Drama","As the story of Rozen Maiden closes, a new chapter begins in Rozen Maiden: Träumend. Shinku and the other sentient dolls of the Rozen Maiden collection are living life as usual at Jun Sakurada's house. Having settled into his role as Shinku's partner in the deadly Alice Game, Jun overcomes his former fears and prepares to return to school. And although Shinku and the other dolls idly pass the days by in the comfort of Jun's home, dark times lie ahead as a new foe presents herself: Barasuishou, the seventh Rozen Maiden.

But Barasuishou is a mystery even to her sisters, none of whom have ever laid eyes on her until now. Shinku considers this a sign that the Alice Game is coming to an end, meaning the dolls will soon be forced to fight one another. Haunted by the upcoming battle and nightmares concerning another doll, Shinku begins distancing herself from the others. If she wishes to claim victory, it will come at a high cost—the lives of her sisters.",TV,12,"Oct 21, 2005 to Jan 27, 2006",fall 2005,Finished Airing,"Mellow Head, TBS","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,24 min per ep,PG-13 - Teens 13 or older,1392,1943,462,104016,https://cdn.myanimelist.net/images/anime/4/10242.jpg,2422,80799,2277,1854,16664,58495,125,98,284,848,2604,6440,15737,16855,9547,5960
66,Azumanga Daiou The Animation,Azumanga Daioh: The Animation,あずまんが大王 THE ANIMATION,8.0,Comedy,"Chiyo Mihama begins her high school career as one of the strangest students in her freshman class—a tiny, 10-year-old academic prodigy with a fondness for plush dolls and homemade cooking. But her homeroom teacher, Yukari Tanizaki, is the kind of person who would hijack a student's bike to avoid being late, so ""strange"" is a relative word.

There certainly isn't a shortage of peculiar girls in Yukari-sensei's homeroom class. Accompanying Chiyo are students like Tomo Takino, an energetic tomboy with more enthusiasm than brains; Koyomi Mizuhara, Tomo's best friend whose temper has a fuse shorter than Chiyo; and Sakaki, a tall, athletic beauty whose intimidating looks hide a gentle personality and a painful obsession with cats. In addition, transfer student Ayumu Kasuga, a girl with her head stuck in the clouds, fits right in with the rest of the girls—and she has a few interesting theories about Chiyo's pigtails!

Together, this lovable group of girls experience the ups and downs of school life, their many adventures filled with constant laughter, surreal absurdity, and occasionally even touching commentary on the bittersweet, temporal nature of high school.",TV,26,"Apr 9, 2002 to Oct 1, 2002",spring 2002,Finished Airing,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records","ADV Films, Sentai Filmworks",J.C.Staff,4-koma manga,24 min per ep,PG-13 - Teens 13 or older,604,661,6785,341623,https://cdn.myanimelist.net/images/anime/1066/117358.jpg,23597,172296,19422,15294,111036,151419,498,467,827,2043,5888,12073,30601,43008,32237,23795
67,Basilisk: Kouga Ninpou Chou,Basilisk,バジリスク 甲賀忍法帖,7.54,"Action, Drama, Romance","For centuries, the Iga and Kouga ninja clans have engaged in a bitter war. But when a ceasefire is ordered by the powerful warlord Ieyasu Tokugawa, the two clans are forced to put down their arms.

Years later, Gennosuke Kouga, heir of the Kouga clan, and Oboro Iga, heir of the Iga clan, have fallen in love. Through marriage, both heirs aim to bring peace to the clans. But their hopes are dashed when flames of rivalry between their clans are reignited, and they are dragged into another war.

Ieyasu's two grandsons have both claimed to be the next heir to the shogunate. To resolve this dispute, both the Kouga and Iga are ordered to send their 10 best warriors to fight in a bloody battle royale, with each clan representing one of the potential shogunate heirs. Two scrolls with the names of the fighters are given and are to be marked in blood upon the given fighter's death. The prize for winning is the favor of the Tokugawa shogunate for a thousand years. Torn between their love for each other and duty to their clans, Gennosuke and Oboro must ultimately decide the fate of their clans.",TV,24,"Apr 13, 2005 to Sep 21, 2005",spring 2005,Finished Airing,"GDH, Kodansha, Sotsu Music Publishing",Funimation,Gonzo,Manga,24 min per ep,R - 17+ (violence & profanity),1654,1236,1393,185035,https://cdn.myanimelist.net/images/anime/1103/133549.jpg,8718,92788,7237,8016,68251,77105,309,352,714,1800,4338,8857,19840,21636,12042,7239
68,Black Cat (TV),Black Cat,ブラックキャット,7.33,"Action, Adventure, Sci-Fi","Completing every job with ruthless accuracy, Train Heartnet is an infamous assassin with no regard for human life. Donning the moniker ""Black Cat"" in the underground world, the elite killer works for the powerful secret organization known only as Chronos.

One gloomy night, the blasé gunman stumbles upon Saya Minatsuki, an enigmatic bounty hunter, and soon develops an odd friendship with her. Influenced by Saya's positive outlook on life, Train begins to rethink his life. Deciding to abandon his role as the Black Cat, he instead opts to head down a virtuous path as an honest bounty hunter. However, Chronos—and particularly Creed Diskenth, Train's possessive underling—is not impressed with Train's sudden change of heart and vows to resort to extreme measures in order to bring back the emissary of bad luck.

This assassin turned ""stray cat"" can only wander so far before the deafening sound of gunfire rings out.",TV,23,"Oct 7, 2005 to Mar 31, 2006",fall 2005,Finished Airing,"GDH, Dentsu, TBS, Sotsu Music Publishing",Funimation,Gonzo,Manga,24 min per ep,PG-13 - Teens 13 or older,2493,864,1796,267180,https://cdn.myanimelist.net/images/anime/1183/133280.jpg,12384,161754,12971,12703,67349,128214,290,458,1012,2883,8847,18752,38586,31824,16161,9394
69,Cluster Edge,,CLUSTER EDGE（クラスターエッジ）,6.31,"Action, Fantasy, Sci-Fi","Cluster Edge Academy isn't just any school; it's THE school, where the offspring of the elite come together to prepare for their roles running a world where artificial soldiers and religious sects are major factors in the battle for total control. Which may be part of why new transfer student Agate Fluorite doesn't quite seem to fit in. It's not just that Agate's enthusiastic attitude stands out among the somber, brooding balance of the student body. There's something about him that demands notice, even from jaded honors students like Beryl Jasper, and from the moment of arrival he's been at the center of a series of mysteries that not even Agate understands. Because Agate's not just another student, he's part of a something so momentous, and dangerous, that the world that built Cluster Edge may not survive its passing. 

(Source: Sentai Filmworks)",TV,25,"Oct 5, 2005 to Mar 29, 2006",fall 2005,Finished Airing,"Bandai Visual, Imagine",Sentai Filmworks,Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,7677,6018,13,10714,https://cdn.myanimelist.net/images/anime/1980/103243.jpg,587,3389,677,1028,5030,3017,44,66,121,289,445,700,683,385,170,117
71,Full Metal Panic!,Full Metal Panic!,フルメタル・パニック！,7.6,"Action, Comedy, Sci-Fi","Mithril, a covert military institution using state-of-the-art technology to combat terrorist operations, assigns a specialized team to a sensitive mission. Under the command of superior officer Melissa Mao, sergeants Sousuke Sagara and Kurz Weber must secretly protect Kaname Chidori—a teenage girl who unconsciously holds breakthrough scientific knowledge and is considered a ""Whispered""—from intelligence agencies and other organizations pursuing her abilities.

While Kurz and Melissa are to assist him remotely, Sousuke enrolls at Kaname's high school as one of her classmates to closely monitor her. However, his militaristic upbringing and poor social skills lead to a difficult adjustment to civilian life. Not only does he attract unnecessary attention, but his actions frequently make Kaname suspicious of him.

Despite the earnest attempts to fulfill his duty, a terrorist ambush further complicates Sousuke's task. Recognizing the vicious mastermind behind the assault, Sousuke abandons his orders to ensure Kaname's safety.",TV,24,"Jan 8, 2002 to Jun 18, 2002",winter 2002,Finished Airing,"Kadokawa Shoten, KlockWorx","ADV Films, Funimation",Gonzo,Light novel,24 min per ep,R - 17+ (violence & profanity),1444,435,4355,488756,https://cdn.myanimelist.net/images/anime/2/75259.jpg,22878,300702,18802,16936,129423,238912,420,569,1186,3618,10913,25542,66086,72374,38991,19205
